"Survey","Species","AbunIndex","AbunCV","BiomIndex","BiomCV","AbunRecruits","AbunRecruitsCV","AbunAdults","AbunAdultsCV","year"
"SOLEMON2007NOVEMBRE_b","Solea solea",375.708740234375,22.1440367862673,36.2956848144531,17.8671945439626,207.671783447266,33.06733009595,147.603881835938,17.7100108752596,2007
"SOLEMON2008_b","Solea solea",227.539794921875,18.0853295023527,29.220853805542,17.8240478651651,66.6763076782227,36.4976443505053,157.214157104492,16.0167147892605,2008
"SOLEMON2009_b","Solea solea",218.034439086914,24.0675670918983,21.5567798614502,15.9561865240115,142.535293579102,41.6685402378055,103.092056274414,13.5523862414468,2009
"SOLEMON2010_b","Solea solea",269.535736083984,18.3613211837451,27.0274543762207,14.8993932904411,80.0981597900391,31.7081047569864,185.024322509766,17.0467464288506,2010
"SOLEMON2011_b","Solea solea",368.667022705078,23.3889955368442,28.8978633880615,16.2521429913562,235.029220581055,32.6464378936425,128.985870361328,15.1730324808463,2011
"SOLEMON2012_b","Solea solea",439.590606689453,16.7775014794446,43.1948585510254,12.3214286928971,198.403350830078,28.3901762212967,236.553451538086,12.4804975834311,2012
"SOLEMON2013_b","Solea solea",709.202026367188,16.5147298584729,49.9508590698242,13.8718039508627,480.484069824219,22.7393904038515,221.304595947266,13.1024162097552,2013
"SOLEMON2014_b","Solea solea",827.245178222656,22.7726736727398,82.8737335205078,15.3453430115949,290.309204101562,51.0453304229153,525.733642578125,13.8502059817956,2014
"SOLEMON2015_b","Solea solea",607.590148925781,21.2775059448984,60.7947807312012,15.7216450348834,297.328094482422,35.0217814660572,302.011566162109,15.8276653255009,2015
"SOLEMON2016_b","Solea solea",605.569458007812,11.6220936769362,65.3994827270508,9.91684224694521,125.801864624023,30.3538707856093,474.737365722656,10.5365727300283,2016
"SOLEMON2017_b","Solea solea",515.403198242188,14.6715665146335,57.2089805603027,12.9145286598628,177.852676391602,30.5290252025265,317.963043212891,13.1078835023275,2017
"SOLEMON2018_b","Solea solea",761.012329101562,15.4051690922184,79.859733581543,13.1087164384037,252.36213684082,31.2446994032964,496.971252441406,13.1578559029339,2018
"SOLEMON2019","Solea solea",709.615356445312,21.5661891507623,73.1811752319336,15.7165476841804,314.229736328125,44.0181510830055,392.337463378906,15.5379444945436,2019
