"pa","Xkm","Ykm","logrec","fyear","year","fmonth","dep","gra","tem.fal","sal.fal"
0,1834.44343863285,5003.57701185343,0,"2007",2007,"12",0.189438538819672,-1.88012219167487,-1.10005249225524,0.639836327093462
0,1797.99304014189,4946.69247925779,0,"2007",2007,"12",0.140698961389381,0.419919176515071,-1.12033670091228,0.561104500335093
0,1829.18972514333,4962.23925520927,0,"2007",2007,"12",0.517276789530999,-1.13033589326793,-1.60753169914943,0.799870814767995
0,1805.66405154019,4923.07739511739,0,"2007",2007,"12",0.477772106185008,0.280693078907486,-1.32679776903693,0.64779126900812
0,1832.48162659432,4935.49163752723,0,"2007",2007,"12",0.780983940052758,-2.0355980155271,-1.78703529253938,0.798656927139537
1,1821.55388409728,5059.30824572414,5.61485208780008,"2007",2007,"12",-0.933625207457796,-0.186654577344166,-2.1750904778281,-1.44782259570833
0,1870.65413142506,4926.45263966649,0,"2007",2007,"11",1.30429365888582,-1.77861924354495,-1.64973344978501,0.862954691537489
0,1903.24059720902,4921.53227703884,0,"2007",2007,"11",1.42332096518064,-1.87065007512559,-1.72120136584334,0.881973673069956
0,1846.90051239593,4885.67271147258,0,"2007",2007,"12",1.35739420201428,-0.618669973864976,-1.66377882696763,0.786527593567713
0,1852.8457532523,4857.2294934543,0,"2007",2007,"12",-0.406724113742984,0.891822845712567,-1.33449503091119,-0.424194362558429
0,1871.37622835367,4851.10716171655,0,"2007",2007,"12",0.450580386620077,0.606374812144269,-1.05404309212018,0.149254419853937
0,1851.99183504098,5067.09911378499,0,"2007",2007,"12",-1.02033045784978,-0.771979721651394,-1.54744669105183,-0.402872887958795
0,1927.21302820742,4923.05917232173,0,"2007",2007,"11",1.94252639537212,-1.99692810019196,-1.57625645010565,0.915531986720018
0,1970.54527629037,4851.38358393449,0,"2007",2007,"12",3.03352464048295,-1.56855433738134,-1.44057164915743,0.997187800725135
1,1789.24693301977,5041.12058270346,3.09265286554298,"2007",2007,"12",-0.652474487712263,0.501608311773789,-1.10729198868219,-0.882845070515839
0,1825.25261923337,5028.1057313548,0,"2007",2007,"12",-0.0139852698819804,-0.741804054898747,-1.4788861570931,0.364598172394839
0,1861.81184002284,4943.87692441841,0,"2007",2007,"11",0.73403992774298,-2.12640912453914,-1.51352892335867,0.814348255575303
0,1817.55759900808,4906.10953133085,0,"2007",2007,"12",0.836649688046281,-0.676493219994538,-1.55213028393437,0.714749896245271
0,1805.4397657243,5027.13315027497,0,"2007",2007,"12",-0.0804250446644715,-0.83525099203112,-1.51358935007042,0.224614206267546
0,1832.41407554929,5031.61718368578,0,"2007",2007,"12",0.319496402175602,-1.2340587129661,-1.49529058055687,0.364372146420235
0,1799.70428432637,4956.64241687609,0,"2007",2007,"12",0.102476880475924,0.629822890916343,-1.19900029183472,0.581895836328101
0,1805.09955932578,5018.72814692385,0,"2007",2007,"12",-0.0532334718839772,-0.57890186404386,-1.40812125041737,0.333097022292164
0,1857.02362986735,4954.82791171352,0,"2007",2007,"11",0.684017650023863,-2.10601421016777,-1.48515980188077,0.812499477615841
0,1788.51731372294,4929.4186678625,0,"2007",2007,"12",-0.0601595935190578,0.915397950971477,-0.739538389667058,0.157462498136536
0,1795.06175644055,4929.54548424362,0,"2007",2007,"12",0.13274666973761,0.896108951383498,-0.963764701955326,0.441984667468808
0,2004.70363750316,4664.83678152308,0,"2007",2007,"12",-0.905407538052832,0.36379201442348,-1.49634218190523,0.597629134524724
0,2035.34076679881,4674.37158323258,0,"2007",2007,"12",2.01537923124542,0.569464730102393,-1.29838069648902,0.769554324326918
0,2054.06864110865,4670.91766299846,0,"2007",2007,"12",-0.602452209993146,0.758768056490191,-0.376620518990768,0.713986342877563
0,1808.30416729821,5026.38171060052,0,"2007",2007,"12",0.0942680096238721,-0.479002253485249,-1.50825939349156,0.264498111742899
0,1865.61436463366,5055.56609594968,0,"2007",2007,"12",-0.649909233919049,0.86278754267583,-2.31629130711266,0.131860944060712
0,1774.14367648971,5034.50643034111,0,"2008",2008,"11",-0.777145313209636,-0.0299378048145394,-1.68332157129613,-1.57398495079822
