"year","AbunRecruits","AbunAdults","Abun_tot","runoff_ms","effort","bottom_t","PP"
2007,207.671783447266,147.603881835938,375.708740234375,821.497506849315,1,14.6555637030908,1.22363909717644
2008,66.6763076782227,157.214157104492,227.539794921875,1497.40603825137,0.912599686387073,14.2250121499771,1.09148790527782
2009,142.535293579102,103.092056274414,218.034439086914,1773.34432876712,0.975600776619805,14.2397917675294,1.0355100350676
2010,80.0981597900391,185.024322509766,269.535736083984,1915.56964383562,0.883359245536533,13.9995252668977,0.847662459009891
2011,235.029220581055,128.985870361328,368.667022705078,1368.90378082192,0.775118164626392,14.3624718666369,0.958568489694829
2012,198.403350830078,236.553451538086,439.590606689453,1145.1793989071,0.680816436496225,14.371648183922,1.0864045622596
2013,480.484069824219,221.304595947266,709.202026367188,1826.91076712329,0.724135147624427,14.7088815795225,0.948538945710221
2014,290.309204101562,525.733642578125,827.245178222656,2281.54739726027,0.767838573990929,15.5922758779512,0.995190691058439
2015,297.328094482422,302.011566162109,607.590148925781,1303.02328767123,0.704020693944134,14.8293037402947,0.980979862362937
2016,125.801864624023,474.737365722656,605.569458007812,1183.84035519126,0.714377509926457,15.3636104750586,1.07945877352377
2017,177.852676391602,317.963043212891,515.403198242188,863.664164383562,0.79473313759812,14.5421867354238,1.1173518688497
2018,252.36213684082,496.971252441406,761.012329101562,1523.09221478561,0.842523420875112,14.3176543857929,1.05859353258455
2019,314.229736328125,392.337463378906,709.615356445312,1508.70087671233,0.864425879530276,15.0783665668247,1.25745205853242
