"fail.sanity","aic","sign.year","sign.fix","cross.val.ll","rmse","r2","mase","cov.type","random"
0,2487.76342284439,13,2,-4899.05386591493,18.1577701111312,0.44554700612366,0.752814843243842,1,"off"
0,2495.30388731407,13,2,-4913.58451837416,17.6156905865775,0.42579507483072,0.740166770115131,2,"off"
0,2501.24896715863,13,3,-4927.35912021099,18.4278514609252,0.443024762483419,0.779776987616935,3,"off"
0,2470.20438158962,13,3,-4859.93708952229,17.8681586172648,0.475124342035837,0.726614729122713,4,"off"
2,NA,NA,NA,NA,NA,NA,NA,1,"spatial"
0,2384.21039301034,13,2,-4696.84289077878,14.6172423657233,0.63284472183219,0.586346628464622,2,"spatial"
0,2392.29933745337,13,2,-4726.78540515425,15.3908158464144,0.595988575020186,0.616283305705753,3,"spatial"
0,2383.59341776016,13,2,-4690.26701383846,15.0087937053344,0.615199035015061,0.593559004214138,4,"spatial"
3,NA,NA,NA,NA,NA,NA,NA,1,"st_iid"
3,NA,NA,NA,NA,NA,NA,NA,2,"st_iid"
3,NA,NA,NA,NA,NA,NA,NA,3,"st_iid"
3,NA,NA,NA,NA,NA,NA,NA,4,"st_iid"
3,NA,NA,NA,NA,NA,NA,NA,1,"st_rw"
3,NA,NA,NA,NA,NA,NA,NA,2,"st_rw"
3,NA,NA,NA,NA,NA,NA,NA,3,"st_rw"
3,NA,NA,NA,NA,NA,NA,NA,4,"st_rw"
5,NA,NA,NA,NA,NA,NA,NA,1,"st_ar1"
5,NA,NA,NA,NA,NA,NA,NA,2,"st_ar1"
5,NA,NA,NA,NA,NA,NA,NA,3,"st_ar1"
5,NA,NA,NA,NA,NA,NA,NA,4,"st_ar1"
